,level-1,level-2,level-3,level-4,level-5,member-1,member-2,member-3,member-4,member-5,member-6,limited-1,limited-2,limited-3,compatible-1,compatible-2,compatible-3,compatible-4,compatible-5,compatible-6,compatible-7,compatible-8,compatible-9,productive-1,syntax_role-1,syntax_role-2,syntax_role-3,syntax_role-4,syntax_role-5,syntax_role-6,special-1,special-2,paraphrase-1,paraphrase-2,paraphrase-3,paraphrase-4,paraphrase-5,etymology-1,etymology-2,etymology-3,etymology-4,animated-1,animated-2,animated-3,reference-1,reference-2,reference-3,semantic_role-1,semantic_role-2,semantic_role-3,semantic_role-4,semantic_role-5,semantic_role-6,semantic_role-7,semantic_role-8,semantic_role-9,semantic_role-10,semantic_role-11,semantic_role-12,semantic_role-13,semantic_role-14,semantic_role-15,semantic_role-16,semantic_role-17,semantic_role-18,semantic_role-19,limited_comember-1,limited_comember-2,state-1,state-2,involvement-1,involvement-2,involvement-3,involvement-4,theme_rheme-1,theme_rheme-2,theme_rheme-3,theme_rheme-4,region
hae-1,0,1,1,0,0,0,1,0,0,IRR,1,ND,0,1,1,ND,1,1,ND,ND,ND,ND,ND,1,1,1,1,1,1,ND,1,1,0,0,0,0,0,0,ND,ND,ND,1,1,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,ND,1,ND,1,ND,1,1,1,ND,ND,1,1,ND,ND,ND,ND,1,1,ND,ND,Africa
hae-2,0,ND,ND,ND,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,1,1,1,ND,ND,ND,ND,ND,1,1,ND,1,1,ND,ND,0,0,0,0,0,0,0,0,1,1,ND,1,1,1,1,ND,1,ND,ND,1,1,ND,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,Africa
hae-3,1,0,0,0,0,1,0,0,0,0,IRR,0,IRR,0,1,0,0,0,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,1,ND,1,1,0,0,0,0,0,0,1,0,ND,0,1,1,1,0,0,ND,ND,1,1,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,Africa
luo-1,0,0,0,0,1,0,0,1,0,IRR,ND,IRR,1,1,1,ND,0,1,1,ND,ND,ND,ND,1,1,ND,1,1,1,ND,0,0,0,0,1,1,0,ND,IRR,IRR,IRR,1,ND,1,1,1,ND,1,1,1,1,1,1,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,1,1,ND,1,ND,ND,1,ND,ND,Africa
djm-1,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,0,0,0,0,0,1,0,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,Africa
djm-2,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,0,0,0,0,0,1,0,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Africa
djm-3,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,0,0,0,0,1,0,0,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Africa
zul-1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ND,ND,0.0,ND,1.0,1.0,1.0,1.0,ND,ND,ND,ND,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,0.0,0.0,0.0,0.0,0.0,0.0,ND,ND,1.0,0.0,ND,1.0,ND,1.0,1.0,1.0,ND,1.0,1.0,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1.0,ND,1.0,ND,ND,1.0,ND,ND,1.0,1.0,ND,ND,ND,ND,1.0,1.0,ND,ND,Africa
heb-1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Africa
heb-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Africa
heb-3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Africa
heb-4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1.0,1.0,0,0.0,1.0,0,1.0,1.0,1.0,1.0,Africa
heb-5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1.0,1,0.0,1.0,0.0,0.0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ND,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,Africa
heb-6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Africa
ikx-1,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,1,1,ND,1,1,1,ND,0,0,0,0,1,1,0,0,IRR,IRR,0,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,1,1,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,Africa
yor-1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ND,ND,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,1.0,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,1.0,1.0,ND,ND,Africa
yor-2,1,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,1.0,0,0,ND,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,1.0,1.0,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,Africa
kfz-1,0,0,0,0,0,0,0,1,0,IRR,IRR,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,ND,1,ND,0,0,1,ND,0,0,1,IRR,IRR,IRR,IRR,1,ND,1,1,1,ND,1,1,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,1,1,ND,ND,ND,1,ND,ND,ND,Africa
kfz-2,0,0,0,0,0,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,ND,1,ND,0,0,0,0,0,1,0,IRR,IRR,IRR,IRR,0,0,1,1,ND,ND,0,ND,ND,ND,ND,ND,ND,ND,0,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,0,0,ND,ND,1,ND,ND,ND,Africa
kfz-3,0,0,0,0,0,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,ND,1,ND,0,0,0,0,0,1,1,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,0,0,ND,ND,1,ND,ND,ND,Africa
sad-1,0.0,1.0,1.0,1,0.0,0.0,0.0,1,ND,IRR,IRR,ND,1,1.0,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0,ND,ND,1,1.0,ND,0.0,0.0,1.0,0.0,0.0,0.0,ND,0.0,0.0,0.0,ND,ND,ND,1.0,1,ND,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,Africa
sad-2,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,ND,ND,ND,1.0,1.0,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,1,ND,ND,Africa
sad-3,0,0.0,0.0,0.0,1,0,0.0,1,0.0,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,1,1,0.0,0.0,0.0,0.0,0.0,1,ND,0.0,1.0,1.0,ND,ND,ND,1.0,1.0,ND,ND,ND,ND,1.0,ND,ND,ND,1.0,1.0,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,Africa
guk-1,0,0,1,0,0,0,1,0,0,IRR,ND,ND,ND,1,ND,ND,1,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,1,0,IRR,IRR,IRR,IRR,IRR,0,1,0,ND,1,ND,1,1,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,Africa
hau-1,0,0,1,0,0,0,1,0,ND,IRR,ND,1,1,ND,1,ND,ND,1,ND,ND,ND,ND,ND,ND,1,ND,1,1,0,ND,0,0,0,0,1,0,ND,0,0,0,1,1,1,1,1,ND,ND,1,ND,1,1,1,ND,1,1,ND,ND,ND,ND,1,1,ND,ND,ND,1,1,ND,ND,1,1,1,ND,ND,ND,1,1,ND,ND,Africa
hau-2,0,0,1,0,0,0,1,0,ND,IRR,ND,1,1,1,1,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,1,ND,ND,ND,0,0,1,0,1,0,ND,IRR,IRR,IRR,ND,ND,ND,1,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,1,ND,1,ND,ND,Africa
hau-3,0,0,1,0,0,0,1,0,ND,IRR,ND,1,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,ND,1,ND,1,1,1,ND,0,0,1,0,0,0,ND,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,ND,ND,1,ND,1,1,1,1,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,Africa
hau-4,0,0,1,0,0,0,1,0,ND,IRR,1,1,0,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,1,1,1,1,1,IRR,IRR,IRR,IRR,ND,0,1,0,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,Africa
ewe-1,0,0,0,0,1,0,0,1,0,ND,ND,IRR,1,1,1,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,1,1,1,ND,0,0,0,0,1,0,0,IRR,IRR,IRR,0,1,ND,1,1,1,ND,1,1,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,1,ND,ND,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,1,1,1,ND,Africa
eus-1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,ND,0,ND,1,1,0,1,1,1,1,1,1,0,0,0,0,0,ND,1,0,0,1,1,1,1,1,ND,1,1,1,1,1,1,1,1,1,1,ND,ND,1,1,0,0,0,1,ND,0,0,1,1,ND,ND,1,1,1,1,1,1,Eurasia
fin-1,0,1,1,0,0,1,1,0,0,0,0,IRR,1,1,1,1,1,1,1,0,0,0,ND,1,1,0,1,1,1,0,1,1,0,0,0,0,ND,0,0,0,ND,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,ND,0,0,1,1,1,1,1,1,1,1,1,1,Eurasia
fin-2,0,1,0,0,0,1,0,0,0,0,IRR,IRR,1,ND,1,ND,1,0,1,0,0,0,ND,1,1,0,1,1,1,0,1,1,0,0,0,0,ND,0,0,0,ND,1,1,1,1,1,0,1,1,ND,ND,1,ND,ND,ND,1,1,1,ND,ND,ND,0,0,0,1,ND,ND,ND,1,1,1,ND,ND,ND,1,1,ND,ND,Eurasia
fin-3,0,1,1,0,0,1,1,0,ND,0,0,IRR,1,1,1,1,1,1,0,0,0,0,ND,1,1,0,1,1,1,1,1,1,0,0,0,0,ND,0,1,0,ND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,Eurasia
fin-4,1,0,0,0,0,1,0,0,0,1,IRR,IRR,0,0,1,0,0,0,1,0,0,0,ND,0,1,0,ND,1,1,1,1,1,0,0,0,0,ND,0,0,0,ND,1,1,1,1,0,0,0,0,1,1,1,1,1,ND,0,1,1,ND,ND,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,Eurasia
lez-1,0,1,0,0,1,1,0,1,0,IRR,1,IRR,1,1,1,ND,1,ND,ND,ND,ND,ND,ND,1,1,ND,1,0,ND,0,1,0,0,0,0,0,0,0,1,1,0,1,ND,1,1,1,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,1,ND,ND,1,ND,1,ND,ND,ND,1,1,ND,ND,Eurasia
lez-2,0,1,0,0,1,1,0,1,0,IRR,ND,IRR,1,1,1,ND,1,ND,ND,ND,ND,ND,ND,1,0,ND,0,1,ND,1,1,0,0,0,0,0,0,0,1,1,0,1,ND,1,1,1,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Eurasia
lez-3,0,1,0,0,1,1,0,1,0,IRR,ND,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,1,0,ND,ND,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,1,1,ND,ND,Eurasia
lez-4,0,1,0,0,1,1,0,1,0,IRR,1,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,0,ND,0,1,ND,ND,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,ND,ND,ND,1,ND,ND,1,1,ND,ND,ND,1,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,Eurasia
lez-5,0,1,0,0,1,1,0,1,0,IRR,ND,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,0,1,ND,1,0,0,0,0,0,0,0,1,1,0,ND,1,1,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,1,0,ND,ND,ND,ND,1,1,ND,ND,Eurasia
lez-6,0,1,0,0,1,1,0,1,0,IRR,ND,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,0,ND,ND,1,0,ND,1,0,0,0,0,0,0,0,1,1,0,ND,1,1,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,0,ND,ND,ND,ND,ND,ND,ND,ND,Eurasia
lez-7,0,1,0,0,1,1,0,1,0,IRR,ND,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,0,ND,ND,1,0,0,0,0,0,0,0,1,1,0,ND,ND,1,1,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,Eurasia
lez-8,0,1,0,0,1,1,0,1,0,IRR,1,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,0,ND,ND,1,ND,ND,1,0,0,0,0,0,0,0,1,1,0,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Eurasia
lez-9,0,1,0,0,1,1,0,1,0,IRR,ND,IRR,1,1,1,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,1,0,ND,ND,1,0,0,0,0,0,0,0,1,1,0,1,ND,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,Eurasia
lez-10,0,1,0,0,1,1,0,1,0,IRR,ND,IRR,1,1,1,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,0,1,ND,ND,1,0,0,0,0,0,0,0,1,1,0,1,ND,1,1,1,ND,ND,ND,ND,ND,ND,1,1,1,ND,ND,1,1,ND,ND,ND,ND,ND,1,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Eurasia
lez-11,1,0,0,0,0,1,0,0,0,1,0,IRR,0,0,1,ND,ND,ND,ND,ND,ND,1,1,0,ND,ND,1,1,1,ND,1,1,IRR,IRR,IRR,IRR,IRR,1,0,0,0,0,0,1,1,0,0,ND,ND,ND,1,ND,ND,ND,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,Eurasia
tel-1,0,1,0,0,1,0,0,1,0,IRR,1,IRR,1,1,1,1,1,1,0,0,0,0,ND,1,1,1,1,0,1,0,1,0,0,0,0,0,ND,0,1,1,ND,1,1,1,1,1,ND,1,1,1,1,1,1,1,1,1,ND,1,1,1,1,0,0,0,0,ND,ND,ND,1,1,1,1,1,1,1,1,1,1,Eurasia
khk-1,0,0,1,0,0,0,1,0,0,0,1,IRR,1,1,1,1,1,1,0,0,1,0,ND,1,1,0,1,1,1,0,0,0,0,0,0,0,ND,0,1,1,ND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,ND,0,0,1,1,1,1,1,1,1,1,1,1,Eurasia
hin-1,0,1,1,0,0,1,1,0,0,IRR,0,IRR,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,ND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,Eurasia
hin-2,0,1,1,0,0,1,1,0,0,0,0,IRR,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,ND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ND,1,1,1,1,ND,1,ND,ND,ND,1,1,1,1,1,1,1,1,1,1,Eurasia
mya-1,0,0,0,0,1,0,0,1,0,IRR,IRR,0,0,1,0,0,0,0,0,1,0,0,0,1,IRR,IRR,IRR,IRR,IRR,ND,0,0,0,0,0,0,ND,0,1,1,ND,ND,1,1,1,1,1,1,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,0,1,ND,1,ND,ND,ND,1,ND,ND,ND,Southeast Asia & Oceania
mya-2,0,0,0,0,1,0,0,1,0,IRR,IRR,0,0,1,0,0,0,0,0,1,0,0,0,1,IRR,IRR,IRR,IRR,IRR,ND,0,0,0,0,0,0,ND,0,1,1,ND,ND,ND,1,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Southeast Asia & Oceania
mky-1,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,0,0,0,0,0,1,0,0,0,0,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Southeast Asia & Oceania
vie-1,0,0,1,0,0,0,1,0,ND,0,0,0,IRR,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,ND,1,0,1,ND,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ND,0,0,0,1,0,0,0,0,1,1,0,0,Southeast Asia & Oceania
vie-2,0,0,0,0,1,0,0,1,ND,0,0,1,IRR,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,ND,1,0,1,ND,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,ND,0,0,0,1,0,0,1,1,1,1,1,1,Southeast Asia & Oceania
vie-3,0,0,0,0,1,0,0,1,ND,0,0,1,IRR,1,1,0,0,0,0,0,0,0,ND,0,1,0,0,1,1,0,0,0,0,1,0,1,ND,0,1,0,ND,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ND,0,0,0,1,0,0,0,0,1,1,1,1,Southeast Asia & Oceania
vie-4,0,0,0,0,1,0,0,1,ND,0,0,1,IRR,1,1,1,1,1,1,IRR,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,ND,1,1,0,ND,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,ND,0,0,1,1,1,0,1,0,1,1,1,1,Southeast Asia & Oceania
